"nacimiento","genero","industria","sector","nucleo","em_fom_remoto","em_fom_camb_remoto","t_dez_remoto","t_casa","t_familia","t_remoto_3meses","t_pref_remoto_3meses","h_trabajo_remoto"
"1985","2","15","30","2","3","2","0","2","6","0.8","0.8","8"
"1996","2","5","34","1","1","2","1","0","0","0.4","0.4","23"
"1969","1","9","22","1","3","1","0","4","2","0.05","0","12"
"1995","2","10","25","2","4","4","1","3","4","0.7","0.6","8"
"1985","1","10","31","2","1","2","1","2","5","0.2","0.3","8"
"1957","2","2","1","2","2","4","0","2","4","1","1","8"
"1983","1","17","25","1","1","2","1","4","3","0.2","0.5","7"
"1990","1","10","25","2","1","2","0","4","6","0.4","0.1","6"
"1978","2","9","25","1","1","1","1","3","4","0.1","0.05","7"
"1976","1","13","38","3","4","4","3.5","1","2","0.9","0.9","10"
"1986","1","2","22","1","1","2","1","2","2","0.4","0.4","9"
"1966","1","15","27","1","4","4","0","3.5","5","1","1","7.5"
"1985","2","6","22","1","3","1","0","6","3","0.2","0.6","9"
"1983","1","14","25","1","3","2","0.5","4","3.5","1","1","9"
"1983","1","6","25","1","2","2","0.5","4","4.5","0.6","1","8"
"1966","1","15","27","1","4","5","0","3.5","5","1","1","7.5"
"1966","1","11","25","2","5","5","0.5","3","5","0","0.2","8"
"1962","2","11","25","2","5","5","0","3","0","0","0","15"
"1980","1","5","37","2","2","2","1","4","4","1","1","8"
"1971","1","6","24","7","1","2","0.5","2","5.5","0.05","0.05","8"
"1980","1","14","22","1","1","1","0.5","3","4","0.8","1","9"
"1990","1","10","25","2","3","2","0","6","6","0.2","0.3","4"
"1975","2","6","22","1","2","2","0","6","3","0.2","1","9"
"1979","1","17","24","2","1","1","0.5","3","4.5","0.1","0.3","8"
"1985","1","9","24","4","4","4","6","4","1","0.1","0.5","8"
"1987","2","10","25","1","2","2","0","3","4","0.6","0.2","9"
"1977","2","11","5","1","1","1","1","1","6","0.5","0.5","8"
"1989","1","18","25","2","4","1","1","2","5","0.8","0.5","9"
"1961","1","18","22","2","1","1","1","1","8","0.5","0.3","8"
"1994","1","17","27","1","1","2","0","2","8","0.2","0.2","5"
"1981","2","5","29","5","4","4","7","3","3","0.3","0.4","3"
"1971","2","5","22","2","2","2","1","3","6","0.3","0.3","7"
"1985","2","17","25","1","3","2","0","3","4","1","0.9","9"
"1959","1","11","27","2","3","1","0.5","1.5","5","1","1","9"
"1968","1","6","25","7","5","5","6","3","4","0.5","0.5","6"
"1976","1","9","32","1","3","3","2","3","3","0.6","0.5","10"
"1963","2","10","25","1","1","2","0","2","2","0.8","1","12"
"1958","1","10","25","2","1","1","0.5","4","3.5","1","1","9"
"1978","1","18","27","2","3","1","1","5","4","0.05","0.05","6"
"2000","2","9","6","5","2","2","0.5","4.5","4","0.7","0.7","8"
"1974","1","3","23","5","2","2","3","3","2","0.2","0.6","6"
"1968","1","8","25","2","1","1","0.5","0.5","4","0.9","0.2","11"
"1984","1","13","24","7","5","5","0.5","2.5","6","0.05","1","9"
"1971","1","14","22","2","3","3","0","4","8","0.1","0.1","4"
"1969","1","13","26","2","3","5","1","2","6","0.9","0.8","7"
"1986","1","6","25","2","5","1","0","2","6","0.7","1","8"
"1961","1","13","29","2","2","1","0","2","4","1","0.7","10"
"1966","1","8","22","2","2","2","0","4","4","1","1","9"
"1998","1","17","24","2","1","1","2","6","2","0","0.1","8"
"1970","1","8","25","2","3","1","0.5","0.5","1","0.9","0.6","16"
"1957","1","13","31","7","2","4","1","4","2","0.2","0.2","10"
"1977","1","6","25","1","5","5","0.5","3","3","0","0","8"
"1979","2","6","32","7","3","3","1","2","6","0","0","6"
"1969","1","8","25","4","1","1","0.5","2","3.5","1","0.5","10"
"1979","2","9","30","1","1","2","1","5","6","0.5","0.2","6"
"1957","1","8","25","2","4","1","0","1","3","0.5","0.8","12"
"1965","1","15","31","2","3","2","0","2","4","0.9","0.7","10"
"1963","1","18","28","2","5","3","0.5","3","2.5","0.1","0.5","10"
"1966","1","6","29","7","5","5","3","2","2","0","0","10"
"1965","1","8","22","2","1","1","0","3","2","0.2","0.2","11"
"1977","1","10","24","2","4","4","0.5","2","5","1","1","7.5"
"1962","2","9","30","6","3","3","0.5","4","3.5","1","0.2","8"
"1995","1","12","7","6","1","1","2","3","4","0.4","0.4","6"
"1968","2","6","25","1","5","1","0","4","3","0.9","0.5","10"
"1976","1","10","31","7","5","3","0.5","1","7.5","0.4","0.5","8"
"1998","2","4","16","7","3","3","0.5","2.5","3","0.6","0.6","11"
"1958","2","6","25","2","4","4","0","2","4","0","0","10"
"1963","1","11","22","2","3","2","0.5","2","3.5","0.1","0.1","10"
"1962","1","15","22","2","3","3","1","3","2","0.1","0.1","12"
"1979","2","17","25","7","4","4","0.5","0","4.5","1","1","12"
"1971","1","14","28","2","4","1","0","1.5","2","1","0.5","8.5"
"1970","2","4","25","6","3","3","0","2","5","0.9","1","9"
"1969","1","1","24","7","3","1","0.5","1","8","0.7","0.3","7.5"
"1969","1","9","22","1","3","2","0","4","4","0.8","0.8","9"
"1995","1","11","28","1","1","1","0.5","2","3.5","0.7","1","10"
"1968","1","19","22","1","1","2","0","4","4","0.3","0.2","8"
"1991","1","11","31","2","3","2","1","3","5","0.9","0.7","8"
"1985","2","9","9","1","2","1","0.5","4","3.5","0.2","0.5","8"
"1983","1","5","38","2","5","5","0.5","1","3","0","0","11.5"
"1970","2","13","22","2","2","1","1","3","4","1","0.8","12"
"1970","1","6","22","1","1","1","0","4","2","1","1","10"
"1986","1","10","39","2","4","2","3","2.5","1","0.4","0.5","7.5"
"1967","2","9","23","1","4","4","1","4","3","1","0.8","8"
"1971","1","8","25","7","3","1","0.25","3","5","1","1","9"
"1957","1","14","31","7","3","1","3","3","4","0.3","0.5","7"
"1966","1","9","25","7","5","4","0","4","5","0.05","0.05","8"
"1990","1","14","22","7","1","1","0","1","7","0.2","0.05","8"
"1964","2","6","25","3","4","5","1","2","5","1","0.5","8"
"1966","1","15","22","2","4","4","0.25","1.5","5","1","0.6","9.75"
"1965","1","13","25","1","1","1","0","4","3","0.05","0","14"
"1969","1","6","22","1","4","1","1","2","4","0.3","0.6","10"
"1966","1","9","25","1","5","5","1","3","3","0.4","0.05","8"
"1971","2","15","25","7","2","4","0.5","2.5","3","0.9","0.9","9"
"1972","1","1","22","1","2","1","0.5","5","5.5","0.05","0.05","6"
"1963","1","19","22","7","5","5","0","2","4","0.3","0.5","8"
"1965","1","6","29","2","3","3","0","1","5","0.9","0.8","10"
"1976","1","10","25","5","1","2","0.5","2","4.5","1","0.6","10"
"1968","1","11","25","1","4","4","1","2","4","0.05","0.05","9"
"2002","1","1","24","6","5","5","0","1.5","4.5","0.05","0.05","8"
"1981","1","7","22","2","2","3","0.5","1","5.5","0.1","0.5","10"
"1983","1","13","25","1","3","3","0.5","5","2.5","0.2","0.2","9"
"1978","1","10","25","4","3","3","0","4","2","1","1","10"
"1980","2","5","22","1","3","1","0","3","4","0.6","0.8","9"
"1988","2","14","22","7","1","1","0","1","5","0.8","0.5","12"
"1970","2","13","10","7","2","2","1","3","4","0.8","0.7","7"
"1958","1","11","4","7","1","1","0.5","4","2.5","0","0.5","10"
"1973","1","11","22","1","5","1","0","2","3","0.6","0.6","12"
"1974","1","8","25","1","2","1","0","2","3","0.9","0.6","12"
"1967","1","17","25","1","1","4","0","1","8","0.2","0.2","8"
"1983","1","4","26","2","3","3","0","6","4","0.2","0","8"
"1974","1","14","26","2","5","3","0.5","2","3","0","0","9"
"1973","2","13","25","7","2","3","0.5","1.5","5","0.8","0.8","8.5"
"1968","1","10","22","1","4","4","0","3","4","1","1","9"
"1963","1","8","25","2","1","1","0","1","6","1","1","13"
"1981","1","15","22","1","3","2","0.5","4.5","5","0.9","0.9","7"
"1967","2","15","25","2","5","5","1","3","3","0.05","0.5","10"
"1963","1","13","22","2","4","2","0.5","0.5","4.5","0.4","0.4","11"
"1975","2","13","22","4","5","5","0","5","2","0.05","0.2","9"
"1987","1","11","22","1","3","2","1","3","4","0.5","0.5","8"
"1971","1","9","25","1","4","4","2","1","4","0.7","0.8","10"
"1975","1","14","25","2","3","2","0.5","2","4.25","0.9","0.6","9.5"
"1989","1","18","22","2","3","3","0","3","3","0.7","0.2","9"
"1985","1","9","27","1","3","3","0.5","9","1","0.3","0.05","9"
"1980","2","2","22","2","5","3","1","3","5","0","0","7"
"1971","2","8","25","1","1","3","0.5","2","4.5","0.1","0.5","9"
"1973","2","13","6","1","3","2","1","3","4","1","0.7","7"
"1971","2","14","25","2","4","4","0","1","3","1","1","10"
"1976","1","19","34","3","2","2","0.5","2","8","1","1","8"
"1997","1","10","31","1","4","2","0","3","4","1","0.2","9"
"1966","1","10","25","1","2","1","5","3","5","0.7","0.7","6"
"2000","2","9","9","4","2","3","2","2","2","0.3","0.4","9"
"1974","1","15","11","1","3","2","1","3","3.5","0.05","0.5","8.5"
"1967","2","15","22","2","5","5","1","3","3","0.05","0.05","10"
"1988","1","8","25","2","4","4","0.5","1","5","0.7","0.5","10"
"1967","2","2","27","1","5","5","0","2","9","0.05","0","5"
"1973","2","15","25","1","5","5","0.5","2","5.5","0.05","0.5","8"
"1965","2","13","29","1","1","1","0.5","1","5.5","0.2","0.05","9"
"1983","2","4","22","7","3","3","0","2","5","0.4","0.4","8"
"1988","1","14","31","3","2","2","0","3","4","0.9","0.8","10"
"1973","2","8","32","1","1","1","1.5","2.5","1.5","0.6","0.6","11"
"1968","2","9","25","5","4","4","0","5","2","1","1","9"
"1971","2","13","25","7","5","5","1","4","2","1","1","10"
"1986","1","17","24","7","5","2","0","0","10","0","0.5","7"
"1983","2","14","32","1","1","1","0.5","4","3.5","0","0.7","9"
"1996","2","10","27","6","3","1","1","3","4.5","0.8","0.8","8"
"1992","1","8","25","7","1","1","1","4","4","1","1","8"
"1980","2","14","28","1","2","4","0.5","2","4.5","1","0.5","8"
"1970","2","14","25","7","1","4","1","2","2","0.5","0.6","12"
"1980","2","8","27","7","4","4","0","2","2","1","1","12"
"1982","2","13","25","7","4","4","0","2.5","5.5","0.9","0.9","9"
"1977","2","6","25","7","1","3","1","4","4","1","1","7"
"1987","1","8","27","2","2","2","0","2","6","0","0.5","8"
"1963","2","6","29","2","2","1","2","5","5","0.5","0.5","5"
"1989","1","18","2","2","3","1","4","2","2","0.4","0.4","10"
"1962","2","9","25","2","1","1","1","2","3","0.2","0.4","12"
"1984","1","2","22","1","4","2","1","4","5","0.5","0.7","6"
"1989","2","14","27","7","1","1","0.5","2","4.5","0.5","0.7","9"
"1981","2","8","27","1","1","1","0.5","3","5.5","0.8","0.5","7"
"1975","2","14","32","7","4","4","0.5","1","3.5","0.5","0.5","11"
"1957","2","14","25","2","3","1","4","2","3","0.05","0","8"
"1981","2","13","25","7","1","4","0.5","1.5","6","1","1","8"
"1984","1","10","25","1","2","2","0","5","2","0.9","0.9","9"
"1972","2","6","25","1","2","2","0","5","3","1","1","9"
"1965","2","8","22","5","1","1","0","3","3","1","1","10"
"1987","2","5","3","2","4","4","0","5","5","1","1","7"
"1958","2","5","24","2","4","4","1","5","5","0.05","0.05","6.5"
"1989","1","8","27","3","3","3","0","1","5","1","0.9","10"
"1985","1","10","25","1","4","4","0.5","3","3","0.9","0.5","9.5"
"1994","2","13","25","2","1","1","0.5","1.5","6","0.9","0.9","8"
"1987","2","16","22","1","2","2","3","3","2","0.2","0.2","8"
"1976","2","18","25","1","3","2","0","2","2","0.6","0.6","12"
"1998","1","10","39","2","4","4","0","5","5","1","1","7"
"1995","1","14","37","2","4","2","0","5","5","1","1","7"
"1994","1","18","36","2","2","4","0","5","5","0.9","0.9","7"
"1985","2","8","25","1","5","3","0.5","4","4.5","0.2","0.5","8"
"1972","2","6","25","5","2","2","0.5","4","4.5","1","0.5","8"
"1990","2","11","23","1","2","2","5","4","3","0.8","0.8","5"
"1965","2","6","22","2","1","1","1","1","8","0.5","0.5","6"
"1996","1","19","39","1","1","1","1","4","6","0.5","0.5","8"
"1993","2","19","22","1","3","5","0","2","5","1","1","8"
"1975","2","4","25","6","3","3","1","4","4","1","1","10"
"1990","2","14","32","2","1","1","0.5","3","1.5","0.9","0.9","10"
"1959","2","4","22","7","2","2","0","2","2","0.5","0.5","10"
"1992","1","14","32","2","2","2","0","0","6","0.6","0.8","10"
"1958","2","6","29","2","1","2","2","4","3","0.3","0.5","7"
"1988","1","5","3","2","4","4","1","5","4","1","1","7"
"1991","1","10","31","2","4","1","2","4","2","1","1","8"
"1987","1","13","27","7","2","2","1","3","3","1","0.8","12"
"1988","2","14","41","7","5","5","0","3","4","0.05","0","9"
"1976","1","10","25","1","1","2","0","4","4.5","1","1","8"
"1975","1","15","28","1","5","5","0.25","3","5.25","0.05","0.2","9.5"
"1958","1","9","1","7","1","1","1","4","4","0.2","0.3","8"
"1965","1","13","27","7","1","1","0.5","1.5","6","1","0.7","8"
"1964","1","6","29","2","2","2","0","3","5.5","0.05","0.2","8"
"1968","1","4","22","2","3","3","0","4","4","0.5","0.5","10"
"1960","1","9","22","2","5","2","0","3","6.5","0.2","0","8.5"
"1958","2","6","25","7","2","2","0","3","5","0.9","0.9","8"
"1984","1","13","29","1","1","3","0.5","4.5","5","0","0.05","7"
"1961","1","6","29","1","5","2","0","2","6.5","0.8","0.5","8.5"
"1958","2","13","25","6","4","4","1","1","3","1","1","12"
"1963","1","18","28","1","1","1","0","2.5","5","0.9","1","9"
"1971","1","7","22","1","4","4","0.5","3","6","1","0.8","7.5"
"1971","1","6","25","1","3","3","0.5","2","6","0","0","7"
"1958","1","9","22","7","3","3","0","3","6","0.05","0","8"
"1959","1","19","33","4","3","4","0","4","4","0.7","0.6","8"
"1959","1","13","28","2","1","2","0","1","6","0.9","0.9","9"
"1984","1","8","25","1","4","4","4","4","5","0.7","0.6","3"
"1990","2","5","5","7","5","5","1","2","2","0.05","0.05","12"
"1971","2","15","25","7","5","5","0.5","1","6.5","0.05","0.05","8.5"
"1972","2","15","22","7","1","1","0.5","1.5","4","0.5","0.5","10"
"1957","2","1","22","2","2","2","0","4","6","0.5","0.5","6"
"1973","2","2","9","2","1","1","0","2","5.25","1","0.6","8.75"
"1975","1","9","30","1","3","3","0","4","5","0.05","0.7","7"
"1979","2","1","12","2","2","2","4","5","5","0.5","0.7","5"
"1966","1","7","25","1","4","4","1","3","2","0.9","0.6","12"
"1962","1","18","25","2","2","2","0.5","2","3","0.9","0.8","10.5"
"1964","1","15","32","2","2","1","0","2","3","0","0.5","9.5"
"1976","2","4","5","1","3","2","0.5","2","6","0","0.5","8"
"1984","2","13","22","7","2","2","0","1","7","1","1","8"
"1972","1","15","25","1","2","2","1","4","2","0.5","0","8"
"1976","1","14","28","7","5","5","0","4","4","0.8","1","9"
"1968","2","9","8","5","4","4","3","2","3","0.3","0.5","8"
"1975","2","17","1","7","4","4","1","2","3","0.5","0.5","10"
"1977","1","2","27","1","4","4","0","4.5","1","1","1","9.5"
"1977","1","10","22","5","1","1","1","3","4","0.9","0.9","7"
"1980","1","10","22","1","2","4","0","3","4","0.9","0.9","10"
"1977","2","9","30","1","4","2","1","4","3","0.05","0.05","8"
"1981","1","5","22","1","3","1","1","2","4","0.5","0.5","9"
"1983","2","6","22","1","4","2","4","2","2","0.2","0.2","8"
"1981","1","8","23","5","1","1","5","9","1","0.05","0.5","8"
"1978","2","18","27","2","5","3","0","2","5","0.9","1","9"
"1986","1","14","31","2","4","4","0.5","2.5","3","0.5","0.4","10"
"1981","1","15","25","7","5","3","0.5","1.5","1","0.05","0.2","12"
"1981","1","11","22","5","2","2","1","2","5","0.5","0.5","9"
"1977","1","4","22","5","5","3","1","2","4","0.2","0","10"
"1977","2","9","30","1","2","2","1","4","3","0.2","0.1","8"
"1980","1","17","22","7","1","1","1","2","4","1","1","8"
"1982","2","13","22","1","2","2","0.5","2","3.5","1","1","10"
"1983","1","11","25","1","2","2","0","2","3","1","1","11"
"1985","1","17","34","2","3","2","0.5","4","3.5","0.3","0.4","9"
"1984","1","13","27","2","1","2","0","4","4","0.9","0.9","8"
"1995","2","8","27","2","2","3","0","2","4","0.7","0.7","10"
"1979","2","9","25","1","1","1","0.5","4","6","0.4","0.5","6.5"
"1993","2","10","31","6","3","2","0","3","6","0.9","0.9","7"
"1982","2","14","32","5","1","1","0.5","5","5.5","1","1","7"
"1976","2","14","27","2","3","3","0.5","1","5","0.1","0.1","9.5"
"1987","1","10","25","2","2","2","0.5","1.5","5","1","1","9"
"1983","1","6","25","2","2","4","0.25","3","5.2","0.5","0.5","7.5"
"1993","1","8","25","7","2","2","1","1","6","0.9","0.5","7.5"
"1979","1","13","22","2","2","1","0","3","3","0.8","0.4","10"
"1982","2","19","27","5","5","5","0.5","4","3","0","0.5","8.5"
"1978","1","4","22","2","3","1","0.25","2","3.7","0.05","0.05","10"
"1977","1","8","25","1","3","3","0","4","4","1","1","9"
"1984","2","6","29","3","5","4","0","2.5","3.5","0.05","0.6","10"
"1981","2","5","24","1","3","3","0","3","4","0.3","0.5","9"
"1982","2","13","22","6","5","5","0.5","3","5.5","1","1","7"
"1980","1","5","25","3","3","3","0","1","4","0.9","0.1","12"
"1989","2","8","25","1","3","3","0.5","3","4.5","0.1","0.7","8"
"1985","1","9","30","1","4","2","2","5","7","0.7","0.7","6"
"1976","2","11","25","1","3","3","0","3","6","0.6","0.8","9"
"1980","2","12","22","3","3","3","0","1","3","1","1","13"
"1974","1","5","37","1","3","3","0","0","0","0","0.5","24"
"1989","1","8","27","2","2","1","1","2","4","0.6","0.5","10"
"1963","2","9","24","4","2","2","0","3","4","0.2","0.5","10"
"1993","2","9","30","4","5","5","1","3","4","0.05","0","8"
"1965","2","6","22","2","2","2","0.5","4","4.5","0.05","0.05","7"
"1977","2","2","22","1","4","4","1","4","3","0.2","0.1","8"
"1978","1","5","25","1","1","1","1","4","3","0.3","0.4","8"
"1976","1","19","25","1","1","2","0","5","3","0.3","0.4","8"
"1989","1","19","22","1","2","1","2","3","3","0.2","0.3","8"
"1975","2","8","1","2","4","4","2","2","6","0.3","0.4","8"
"1978","1","10","31","1","4","4","3","3","4","0.4","0.9","7"
"1981","1","14","28","3","1","1","0.5","5","4.5","0.8","0.8","7"
"1980","1","17","24","1","2","1","5","5","14","0.3","0.3","0"
"1983","1","10","31","1","2","1","4","5","5","0.7","0.7","4"
"1975","2","8","2","2","4","4","2","2","6","0.4","0.5","8"
"1992","2","17","33","5","3","3","2","4","5","0.1","0.2","8"
"1969","2","17","24","5","2","1","6","4","2","0.2","0.2","6"
"1986","2","17","24","4","2","2","9","2","4","0.3","0.2","7"
"1983","1","10","31","1","4","1","5","4","4","0.7","0.7","5"
"1971","1","6","22","1","4","4","0","4","3","1","1","10"
"1981","1","8","25","1","4","2","2","2","4","0.5","0.6","8"
"1972","1","10","25","1","4","4","1","2","5","0.05","0.2","8"
"1979","1","8","25","2","2","2","0","3.5","4","0.5","0.5","7.5"
"1980","1","17","22","1","4","2","5","2","1","0.7","0.4","8"
"1991","2","14","27","1","3","3","0","5","3","0.7","1","8"
"1990","1","17","25","1","1","2","6","2","4","0.3","0.2","8"
"1980","1","10","25","1","2","2","3","6","3","0.1","0.3","10"
"1990","1","17","25","1","4","4","5","5","7","0.3","0.2","4"
"1987","1","4","25","2","2","2","0.5","4","4","0.3","0.6","8"
"1976","2","17","22","7","3","1","2","1","2","0.1","0.5","12"
"1988","1","13","22","3","4","4","8","2","7","0.2","0.1","5"
"1974","1","15","5","2","2","2","0","2","7","1","0.8","7"
"1984","2","14","28","1","2","1","3","3","2","0.2","0","8"
"1989","1","10","31","2","2","2","1","2","4","0.6","0.8","8"
"1990","1","10","22","7","2","3","4","4","4","0.2","0.4","4"
"1964","1","4","25","1","3","3","0.5","3","4","0.1","0.3","8.5"
"1990","2","10","31","1","4","2","2","3","4","0.1","0.1","9"
"1979","1","8","22","2","2","2","0","3","5","0.5","0.5","8"
"1982","2","8","27","2","5","3","0.5","2","5.5","1","0.8","8"
"1980","1","5","23","1","3","2","3","12","5","0.4","0.4","2"
"2001","2","3","29","6","1","3","1","7","4","0.1","0.1","6"
"1980","1","5","27","5","4","2","0","0","7","0.1","0.2","8"
"1970","1","10","24","1","4","4","8","2","3","0.4","0.5","2"
"1978","1","8","25","1","4","4","2","4","2","0.3","0.5","8"
"1979","1","8","25","5","2","2","2","4","2","0.3","0.3","8"
"1985","2","13","27","1","2","1","0.5","3","4","0.8","0.9","10"
"1980","1","10","22","1","4","4","5","5","5","1","1","5"
"1997","2","7","3","2","4","4","4","8","2","0.4","0.4","8"
"1992","1","13","38","4","3","4","6","2","4","0.3","0.2","6"
"1981","1","10","22","1","2","4","2","3","3","0.3","0.2","8"
"1985","2","14","32","7","1","2","0.5","3","2","0.05","0.2","9.5"
"1983","1","14","25","1","2","2","0","4","4","1","1","8"
"1989","2","17","25","5","3","3","7","1","2","0.3","0.1","8"
"1982","1","8","26","3","2","4","10","2","2","0.4","0.2","3"
"1974","2","11","25","5","2","2","0.5","2.5","8","0.3","0.3","7"
"1983","2","13","22","1","2","4","3","4","5","0.2","0.2","6"
"1983","1","4","23","2","2","4","1","2.5","2.5","0.4","0.3","8"
"1986","2","5","5","2","4","2","5","2","4","0.4","0.3","5"
"1985","2","2","5","1","4","4","4","2","2","0.05","0.05","8"
"1989","2","2","5","1","4","4","5","1","1","0.1","0.1","9"
"1991","2","8","22","1","2","2","0","3","7","0.7","0.7","6"
"1988","1","13","22","2","1","3","2","2","7","0.3","0.4","6"
"1981","1","14","28","1","4","4","0.5","5","4.5","0.3","0.6","6"
"1980","1","13","25","1","4","2","3","3","2","0.8","0.8","8"
"1978","1","13","22","1","4","4","2","4","4","1","1","7"
"1975","1","13","22","1","4","2","6","4","3","1","1","8"
"1983","1","10","31","1","1","2","4","4","4","0.3","0.5","4"
"1985","1","14","25","2","4","4","1","3","5","0.9","0.9","7"
"1971","1","17","25","1","2","1","0","2","2","0.5","0.6","12"
"1959","1","10","38","1","4","2","3","3","6","0.05","0.05","5"
"1976","2","10","22","1","2","2","0","2","6","0.9","1","8"
"1978","1","10","22","1","2","4","4","2","4","0.2","0.3","8"
"1999","2","19","19","5","2","1","3","3","5","0.7","0.2","6"
"1982","2","10","31","1","4","2","5","3","5","0.5","0.5","5"
"1983","1","10","25","1","2","2","1","4","4","1","1","8"
"1977","1","6","29","1","5","5","0","3","5","0.3","0.05","10"
"1962","1","12","22","1","2","1","0","2","7","1","0.5","8"
"1983","2","14","27","1","3","1","1","4","4","0.8","0.5","8"
"1996","1","13","25","7","4","4","5","5","5","0.3","0.5","5"
"1972","1","10","25","1","2","4","0","1","8","0.5","0.4","8"
"1984","2","9","30","5","3","1","8","2","3","0.1","0.3","9"
"1984","1","2","10","6","3","1","4","4","4","0.3","0.5","4"
"1971","1","17","25","1","2","1","1","2","4","0.5","0.4","12"
"1972","1","10","25","1","4","4","0","1","8","0.5","0.4","8"
"1989","1","19","22","1","4","2","2","3","3","0.4","0.5","9"
"1984","2","11","22","1","4","4","2","3","6","0.3","0.3","9"
"1988","2","8","27","5","3","2","3","6","5","0.05","1","7"
"1995","1","19","8","2","1","1","2","4","6","0.5","0.5","10"
"1969","1","3","22","2","5","1","7","8","1","0.5","0.5","7"
"1980","2","6","29","1","4","4","2","3","2","0.4","0.5","9"
"1976","1","8","25","1","2","2","1","3","3","0.2","0.2","15"
"1996","2","6","33","2","2","2","4","6","5","0.8","0.8","5"
"1991","2","6","29","3","2","2","8","4","1","0.4","0.4","7"
"1996","3","14","31","2","3","2","0","4","3","0.9","0.9","8"
"1990","1","16","27","2","1","2","6","6","3","0.4","0.4","2"
"2000","2","19","30","1","4","2","0","4","3","0.4","0.3","8"
"1978","1","1","24","1","2","2","1","2","4","0.1","0.1","8"
"1985","1","14","22","2","4","2","1","3","4","0.9","0.9","7"
"1997","2","13","25","7","1","2","2","6","4","0.05","1","3"
"1989","1","10","22","1","2","4","0","3","2","0.5","0.5","7"
"1982","1","17","32","1","2","2","4","8","4","0.4","0.4","4"
"2000","2","5","10","4","5","3","8","4","0","0.3","0.5","9"
"1997","2","14","30","6","2","2","2","2","2","0.6","0.6","10"
"1990","1","5","37","4","4","4","16","2","1","1","1","3"
"1977","2","9","30","1","2","4","2","2","4","0.2","0.2","8"
"1990","1","14","22","7","4","4","5","3","1","0.8","0.7","9"
"1966","2","12","31","5","2","4","4","2","0","0","0.2","10"
"1980","1","13","22","1","1","2","1","2","9","0.8","0.8","5"
"1995","1","14","22","7","4","5","0","2","2","0.4","0.6","10"
"1961","1","8","22","2","4","4","0","1","2","1","0.5","14"
"1968","1","9","22","1","5","5","1","3","4","0.6","0.5","8"
"1981","1","2","5","1","4","2","4","3","5","0.3","0.3","5"
"1994","2","2","25","7","2","3","5","5","2","0.2","0.2","5"
"1980","2","6","29","1","2","4","1","2","2","0.6","0.5","9"
"1973","1","18","36","1","2","4","6","1","2","0.5","0.4","7"
"1986","2","4","22","1","2","2","0","2","4","0.7","0.5","8"
"1979","2","8","25","5","2","1","6","1","2","0.3","0.05","9"
"1966","2","9","25","2","3","2","0","2","6","0.9","1","8"
"1995","2","11","25","5","2","1","1","5","3","0.1","0.1","6"
"1976","2","17","22","7","2","2","1","1","4","0.3","0.7","10"
"1957","2","9","22","2","2","2","0.4","3","3.6","0.8","0.6","9"
"1962","1","18","22","2","3","1","0","2","6.5","0.5","0.5","8.5"
"1964","1","8","22","2","3","3","0","3","3","0.1","0.4","10"
"1959","1","12","14","1","4","4","1","1","20","0.9","0.9","1"
"1982","2","10","22","1","2","4","5","3","5","0.5","0.5","6"
"1976","1","5","25","1","2","4","3","3","4","0.3","0.2","8"
"1975","1","8","27","1","4","4","3","4","4","0.3","0.3","5"
"1980","1","11","22","1","1","1","0.5","3.5","4","0.5","0.5","6"
"1980","1","10","22","1","2","4","4","5","5","0.9","1","6"
"1992","1","7","22","3","4","4","6","4","2","0.5","0.5","6"
"1982","1","14","23","1","5","1","1","6","6","0.4","0.4","4"
"1988","2","11","22","1","2","4","0","4","5","1","0.9","7"
"1994","1","14","28","3","3","3","0.5","2","5.5","0.3","1","8"
"1977","2","2","25","1","4","2","6","2","2","0.6","0.7","3"
"1980","1","8","32","1","3","3","0","4","3","0.6","0.6","9"
"1972","2","11","25","5","1","2","0.5","5","5","0.05","0.05","7"
"1992","1","7","22","3","4","4","6","4","2","0.5","0.5","6"
"1980","1","10","22","1","2","4","4","3","4","1","1","7"
"1995","1","7","37","5","3","1","8","2","2","0.7","0.5","6"
"1980","1","10","22","5","4","4","4","3","4","1","1","7"
"1997","1","2","5","2","4","2","4","2","1","0.1","0.1","9"
"1984","1","1","31","1","5","5","3","5","6","0.5","0.3","10"
"1987","2","16","24","1","2","2","3","3","2","0.1","0.2","8"
"1985","1","10","22","1","4","4","3","1","4","0.2","0.3","10"
"1990","1","2","26","1","4","4","2","2","1","0.6","0.7","10"
"1997","2","8","2","7","2","1","4","17","0","0.2","0.3","3"
"1978","2","8","27","7","4","4","0","2","3","1","1","11"
"1988","1","11","28","2","4","2","1","3","5","0.7","0.6","8"
"2001","1","5","35","2","4","4","5","5","5","0","0.05","5"
"1987","2","10","22","1","2","2","0","5","5","0.2","0.2","6"
"1992","1","10","25","1","2","4","5","6","2","0.4","0.5","4"
"1996","2","19","31","4","4","4","12","4","3","0.7","0.4","3"
"1976","1","10","22","1","2","4","2","5","6","0.8","0.6","5"
"2000","2","6","29","7","2","2","1","5","8","1","1","2"
"1989","1","8","27","2","1","2","0","3","4","0.7","1","10"
"1994","2","8","27","1","4","4","2","5","5","0.3","0.3","8"
"1974","1","13","22","1","2","4","2","2","4","0.5","0.5","8"
"1990","2","8","22","7","2","4","4","4","4","0.4","0.4","4"
"1988","2","6","25","1","1","3","6","2","1","0.2","0.2","8"
